headline,source,class
The 2019 Toyota RAV4 Hybrid Is the RAV4 to Have,Car and Driver via Yahoo News,0
Biffle scores fairytale Truck race win after 18 year drought,Motorsport via Yahoo Sports,0
"Greg Biffle tames wild Texas, wins Triple Truck Challenge bonus in NASCAR return",NASCAR.com via Yahoo Sports,0
"Best &amp; Worst Fuel Economy for Cars, SUVs, and Trucks",Consumer Reports via Yahoo News,0
"Could Toyota Caetano Portugal, S.A. (ELI:SCT) Have The Makings Of Another Dividend Aristocrat?",Simply Wall St. via Yahoo Finance,0
Toyota to maintain one-lap stint advantage at Le Mans,Motorsport via Yahoo Sports,0
Take The Whole Family Off-Road In This Custom Toyota FJ45 Troopy,motorious via Yahoo News,0
"The Zacks Analyst Blog Highlights: Uber, Lyft, Toyota and DENSO",Zacks via Yahoo Finance,0
"Lotterer was ""naive"" to think LMP1 EoT could work",Motorsport via Yahoo Sports,0
Hartley: Toyota drive no barrier to Porsche FE seat,Motorsport via Yahoo Sports,0
Alonso: Privateers' test day pace hard to understand,Motorsport via Yahoo Sports,0
This 1994 Toyota Has Been Turned Into Thunderbird 2,motorious via Yahoo News,0
Gallery: Get set for the Le Mans 24 Hours Test Day,Motorsport via Yahoo Sports,0
Tanak and Toyota roar through Portuguese dust,AFP via Yahoo Sports,0
2019 Toyota Corolla,Car and Driver via Yahoo News,0
"Auto Stock Roundup: Fiat-Renault Merger Plan, Toyota's Investment in Ride-Sharing Firm",Zacks via Yahoo Finance,0
Tanak and Toyota dominate opening day in Portuguese rally,AFP via Yahoo Sports,0
Why the 2019 Toyota 4Runner Defies Rationality,Popular Mechanics via Yahoo News,0
"Hybridization of NASCAR cars not expected by 2021, Toyota executive says",NBC Sports via Yahoo Sports,0
Toyota (TM) to Invest $550M in China-Based Didi Chuxing,Zacks via Yahoo Finance,0
Toyota may invest about $550 million in China ride-hailing firm Didi: Nikkei,Reuters via Yahoo News,0
Better Buy: Ford Motor vs. Toyota,Motley Fool via Yahoo Finance,0
"Death of the minivan? As Americans buy more SUVs, is the minivan headed for the junkyard?",USA TODAY via Yahoo Finance,0
Toyota supports proposed LMP1 handicap system,Motorsport via Yahoo Sports,0
Cole Custer takes Pocono Xfinity win with last-lap pass,Motorsport via Yahoo Sports,0
France prepared to cut Renault stake to bolster deal with Nissan: AFP,Reuters via Yahoo Finance,0
Just like old times: Greg Biffle celebrates 1st Truck win in 18 years,NBC Sports via Yahoo Sports,0
Le Mans test day: Buemi keeps #8 Toyota on top,Motorsport via Yahoo Sports,0
Le Mans test day: Buemi leads morning session for Toyota,Motorsport via Yahoo Sports,0
Carmakers See $18 Billion Wiped Out by Trump’s Mexico Threat,Bloomberg via Yahoo Finance,0
20 Best Cars To Own If You Have Great Credit,GOBankingRates via Yahoo Finance,0
Edited Transcript of 7203.T earnings conference call or presentation 8-May-19 5:10am GMT,Thomson Reuters StreetEvents via Yahoo Finance,0
Kevin Harvick leads final practice with four SHR cars in top-five,Motorsport via Yahoo Sports,0
Edited Transcript of 8015.T earnings conference call or presentation 8-May-19 10:59am GMT,Thomson Reuters StreetEvents via Yahoo Finance,0
Daniel Suarez tops Friday's first Cup practice at Michigan,Motorsport via Yahoo Sports,0
"Did Hedge Funds Drop The Ball On PepsiCo, Inc. (PEP) ?",Insider Monkey via Yahoo Finance,0
"Dave Roberts manages Dodgers but honed his craft with Bruce Bochy, Giants",NBC Sports BayArea via Yahoo Sports,0
IndyCar’s DXC Technology 600 at Texas – facts and figures,Motorsport via Yahoo Sports,0
Harvick and his SHR teammates lead final practice at Michigan,NASCAR.com via Yahoo Sports,0
Pressure mounting for KBM youth movement to develop,NASCAR.com via Yahoo Sports,0
Can’t Afford A Supra? Get A Soarer With That Unbeatable 1JZ Instead,motorious via Yahoo News,0
'Jeopardy!' legend Ken Jennings says it's 'inevitable' he will face-off against James Holzhauer,Good Morning America via Yahoo News,0
France seeks to fend off blame for FCA-Renault deal collapse,Reuters via Yahoo Finance,0
2019 BMW Z4 sDrive30i vs. 2019 Porsche 718 Boxster: Which Makes for a Better Summer?,Car and Driver via Yahoo News,0
Last-lap pass gives Custer dramatic Xfinity win at Pocono,Reuters via Yahoo News,0
The rise and rise of a new Super Formula title contender,Motorsport via Yahoo Sports,0
Greg Biffle in final prep for first NASCAR race since 2016,NBC Sports via Yahoo Sports,0
M&amp;M's Glampground becomes sweetest stop on NASCAR circuit,NASCAR.com via Yahoo Sports,0
"Vandoorne reflects on ""spectacular"" first taste of Le Mans",Motorsport via Yahoo Sports,0
NHRA: Steve Torrence’s fourth win of season highlights wild day in Chicago,NBC Sports via Yahoo Sports,0
What drivers said at Pocono,NBC Sports via Yahoo Sports,0
Wrap-up: Pocono Raceway,Rotoworld via Yahoo Sports,0
Dominant Tanak wins dusty Portuguese rally,AFP via Yahoo Sports,0
Kyle Larson sweeps first two stages at Pocono Raceway,NASCAR.com via Yahoo Sports,0
"Kyle Busch hangs on at Pocono, ties Rusty Wallace on all-time list with 55th win",NASCAR.com via Yahoo Sports,0
Martin Truex Jr. exits early with mechanical issue at Pocono,NASCAR.com via Yahoo Sports,0
"Preliminary entry lists for Cup and Xfinity at Michigan, Trucks at Texas",NBC Sports via Yahoo Sports,0
Portugal WRC: Tanak's lead eroded while Latvala retires,Motorsport via Yahoo Sports,0
Kyle Busch's winning No. 18 all clear in Pocono post-race inspection,NASCAR.com via Yahoo Sports,0
Jones rebounds from Charlotte disappointment with third-place run at Pocono,NASCAR.com via Yahoo Sports,0
Portugal WRC: Latvala closes on Tanak through longest stage,Motorsport via Yahoo Sports,0
William Byron earns Pocono pole over Kyle Busch,Motorsport via Yahoo Sports,0
Byron tops 173 mph and hits fast lap to win pole at Pocono,The Associated Press via Yahoo Sports,0
Portugal WRC: Tanak doubles lead over Latvala,Motorsport via Yahoo Sports,0
"Friday 5: Rivalries among Joe Gibbs Racing, Team Penske drivers brewing",NBC Sports via Yahoo Sports,0
Deegan continues to shine as she races up NASCAR ladder,The Associated Press via Yahoo Sports,0
"Martin Truex Jr., No. 19 team 'doing all the little things right'",NASCAR.com via Yahoo Sports,0
Would You Buy A Porsche Carrera GT For $3000?,motorious via Yahoo News,0
"Kurt Busch, Suarez top practice sessions at Pocono Raceway",NASCAR.com via Yahoo Sports,0
Three-time Pocono winner Kurt Busch fastest in final practice,Motorsport via Yahoo Sports,0
"Officials eject car chiefs for No. 20, No. 37 teams after Pocono woes in inspection",NASCAR.com via Yahoo Sports,0
"Uber, Lyft, or GM: Which Is the Better Driverless Car Play?",Motley Fool via Yahoo Finance,0
20 Best Cars to Own If You Don’t Have Great Credit,GOBankingRates via Yahoo Finance,0
DTM moving towards hybrid power for 2021 or 2022,Motorsport via Yahoo Sports,0
Is the Current Dip the Perfect Opportunity to Buy Activision Blizzard (ATVI)?,Zacks via Yahoo Finance,0
Nakajima aims to capitalise on rare Super GT title chance,Motorsport via Yahoo Sports,0
National Soccer Hall of Fame Voting Remains a Grossly Flawed Process,Sports Illustrated via Yahoo Sports,0
Michael Self takes Michigan ARCA win as Majeski runs out of gas,Motorsport via Yahoo Sports,0
Edited Transcript of MINDAIND.NSE earnings conference call or presentation 16-May-19 11:30am GMT,Thomson Reuters StreetEvents via Yahoo Finance,0
"Preliminary entry lists for Cup, Xfinity at Pocono",NBC Sports via Yahoo Sports,0
Portugal WRC: Tanak leads amid Hyundai dramas,Motorsport via Yahoo Sports,0
"Volvo XC90 review: Can a big seven-seater SUV make sense as a low-carbon, low-emission eco-car?",The Independent via Yahoo News UK,0
Faster new Toyota Racing Series car breaks cover,Motorsport via Yahoo Sports,0
Power Ranking After: Charlotte,Rotoworld via Yahoo Sports,0
New auto giant? Fiat Chrysler wants to merge with Renault,Associated Press via Yahoo Finance,0
Wrap-up: Charlotte Motor Speedway,Rotoworld via Yahoo Sports,0
IndyCar Aeroscreen prototype to arrive “in about 30 days”,Motorsport via Yahoo Sports,0
Earnhardt earns career-best finish: 'I literally drove my guts out',NASCAR.com via Yahoo Sports,0
Daniel Suarez tops Kyle Busch in Saturday's first Cup practice,Motorsport via Yahoo Sports,0
Daniel Suarez sweeps pair of Saturday practices for Coca-Cola 600,NASCAR.com via Yahoo Sports,0
"Charlotte native Byron, 21, wins Coca-Cola 600 pole",Reuters via Yahoo Sports,0
Will Trump-Abe Summit Buck Recent Gloomy Trend?,Bloomberg via Yahoo Finance,0
Truex's winning No. 19 entry clears post-race inspection at Charlotte,NASCAR.com via Yahoo Sports,0
Coke 600: Brad Keselowski wins hectic first stage,Motorsport via Yahoo Sports,0
"Designed by committee, Toyota's Japan Taxi becomes an expensive Olympic symbol",Reuters via Yahoo Sports,0
Toyota signs LMP1 rival Laurent as reserve driver,Motorsport via Yahoo Sports,0
Ginetta set for return to WEC in 2019/20,Motorsport via Yahoo Sports,0
Martin Truex Jr. holds off Joey Logano in late shootout to win Coca-Cola 600,NBC Sports via Yahoo Sports,0
Roundtable: Is All-Star win a turning point for Kyle Larson?,Motorsport via Yahoo Sports,0
"Truex Jr., Keselowski claim Coca-Cola 600 stage victories",NASCAR.com via Yahoo Sports,0
"Preliminary entry lists for Cup, Xfinity at Charlotte",NBC Sports via Yahoo Sports,0
Snap (SNAP) Up 0.4% Since Last Earnings Report: Can It Continue?,Zacks via Yahoo Finance,0
Jeffrey Earnhardt earns first NASCAR top five in stubborn fashion,NBC Sports via Yahoo Sports,0
Jeffrey Earnhardt rallies for career-best NASCAR finish,Motorsport via Yahoo Sports,0
NASCAR pays homage to military heroes in return of NASCAR Salutes Refreshed by Coca-Cola,NASCAR.com via Yahoo Sports,0
Hemric tops opening Charlotte Coca-Cola 600 practice,NASCAR.com via Yahoo Sports,0
Bowyer powers to pole for NASCAR All-Star Race,Reuters via Yahoo Sports,0
Zonta issues quit threat after third exclusion in a year,Motorsport via Yahoo Sports,0
Ford revs up to sell hybrids with appeal of speed and power,Reuters via Yahoo News,0
Austin Dillon fastest in final Cup Series practice,NASCAR.com via Yahoo Sports,0
Monster Energy NASCAR All-Star Race qualifying order,NASCAR.com via Yahoo Sports,0
NASCAR Trucks champ Brett Moffitt finds home at GMS Racing,The Associated Press via Yahoo Sports,0
Kyle Busch goes 5-for-5 in Truck Series in 2019 with win at Charlotte,NASCAR.com via Yahoo Sports,0
SMP commits to WEC for 2019/20 but wants LMP1 changes,Motorsport via Yahoo Sports,0
Monster Energy Open qualifying order,NASCAR.com via Yahoo Sports,0
Wrap-up: Charlotte All-Star Race,Rotoworld via Yahoo Sports,0
Thruxton BTCC: Jordan holds off Turkington for Race 2 victory,Motorsport via Yahoo Sports,0
"General Motors might be the largest U.S. automaker, but it could not survive in Europe",CNBC via Yahoo Finance,0
William Byron becomes youngest pole winner of Coke 600,Motorsport via Yahoo Sports,0
Edited Transcript of MNR earnings conference call or presentation 10-May-19 2:00pm GMT,Thomson Reuters StreetEvents via Yahoo Finance,0
Edited Transcript of IFX.DE earnings conference call or presentation 7-May-19 7:30am GMT,Thomson Reuters StreetEvents via Yahoo Finance,0
"Bike to Work Week: Are e-bikes the answer to health, traffic and environmental issues?",USA TODAY via Yahoo News,0
Get the best seats in the house for the French GP,Motorsport via Yahoo Sports,0
Martin Truex Jr. to honor Dale Earnhardt Jr.'s support with Darlington throwback,NASCAR.com via Yahoo Sports,0
Head-to-Head: Kyle versus Kurt Busch,Rotoworld via Yahoo Sports,0
"Interested In Toyota Caetano Portugal, S.A. (ELI:SCT)? Here's What Its Recent Performance Looks Like",Simply Wall St. via Yahoo Finance,0
"FOCUS-Nissan faces long, rocky road to cut U.S. discounts, rental sales",Reuters via Yahoo Finance,0
"RPT-FOCUS-Nissan faces long, rocky road to cut U.S. discounts, rental sales",Reuters via Yahoo News,0
"Nissan faces long, rocky road to cut U.S. discounts, rental sales",Reuters via Yahoo Finance,0
Martin Truex Jr. savors win over 'challenge' of new aero rules,Motorsport via Yahoo Sports,0
Stock Market News: Chrysler Looks to Rejoin Big 3; a New Threat to GE?,Motley Fool via Yahoo Finance,0
"Larson collects first career All-Star Race win, $1 million",NASCAR.com via Yahoo Sports,0
Edited Transcript of EFL.TO earnings conference call or presentation 15-May-19 12:00pm GMT,Thomson Reuters StreetEvents via Yahoo Finance,0
"Toyota Doing Well, but How Much More Debt Can the American Consumer Consume?",GuruFocus.com via Yahoo Finance,0
Anticipation for Charlotte grows after Kansas delivers,Reuters via Yahoo Canada Sports,0
Suzuka Super GT: Lexus locks out front row as Nissan struggles,Motorsport via Yahoo Sports,0
"Test Numbers Are in for the Highly Anticipated 2020 Toyota Supra, but Can It Outrun a Chevrolet...",Car and Driver via Yahoo News,0
Suzuka Super GT: Nakajima/Sekiguchi lead Lexus 1-2-3,Motorsport via Yahoo Sports,0
Teenager completes 17-car TCR Australia grid,Motorsport via Yahoo Sports,0
"NHRA Virginia: Butner, S. Torrence, Hines, Capps continue winning ways",NBC Sports via Yahoo Sports,0
Meeke gets Rally Chile penalty for windscreen change,Motorsport via Yahoo Sports,0
NASCAR tribute to fallen service members takes on personal meaning for JTG Daugherty engineer,NASCAR.com via Yahoo Sports,0
Staying Up Front,Rotoworld via Yahoo Sports,0
AutoNation (AN) Up 0.5% Since Last Earnings Report: Can It Continue?,Zacks via Yahoo Finance,0
NASCAR Diversity Internship Program announces 2019 class,NASCAR.com via Yahoo Sports,0
Kevin Durant FaceTimed Bob Myers before Warriors-Rockets Game 6 ended,NBC Sports BayArea via Yahoo Sports,0
Tanak takes lead in first Chile rally,AFP via Yahoo Sports,0
Steve Kerr: 'Everything is on the table' for Warriors' Game 6 lineups,NBC Sports BayArea via Yahoo Sports,0
Warriors look to eliminate Rockets on Friday without Durant,The Associated Press via Yahoo Sports,0
Tanak buries back-to-back misery in Chile as Ogier takes championship lead,AFP via Yahoo Sports,0
"Chile WRC: Tanak wraps up victory, Ogier takes points lead",Motorsport via Yahoo Sports,0
"Ryan: Dover criticism at interesting juncture for leadership, rules",NBC Sports via Yahoo Sports,0
"Where Steph Curry's epic second half stands in Warriors, NBA history",NBC Sports BayArea via Yahoo Sports,0
Brad Keselowski snags victory in Kansas thriller,Motorsport via Yahoo Sports,0
The Latest: Keselowski wins Cup Series race at Kansas,The Associated Press via Yahoo Sports,0
"Chile WRC: Tanak leads Ogier, Latvala forced to retire",Motorsport via Yahoo Sports,0
Keselowski's winning No. 2 entry clears post-race inspection at Kansas,NASCAR.com via Yahoo Sports,0
"Brad Keselowski surges late, survives overtime for Kansas Speedway win",NASCAR.com via Yahoo Sports,0
Alex Bowman's second-place streak continues at Kansas,NASCAR.com via Yahoo Sports,0
Erik Jones' overtime block has Bowyer boiling at Kansas,NASCAR.com via Yahoo Sports,0
Steph Curry implies he felt disrespected entering Game 6 vs. Rockets,NBC Sports BayArea via Yahoo Sports,0
Tuesday Sports in Brief,The Associated Press via Yahoo Sports,0
WATCH: Mets' Pete Alonso on go-ahead home run: 'It was awesome',SNY via Yahoo Sports,0
Edited Transcript of STLC.TO earnings conference call or presentation 2-May-19 1:00pm GMT,Thomson Reuters StreetEvents via Yahoo Finance,0
"Button: Juggling Super GT and WEC was ""impossible""",Motorsport via Yahoo Sports,0
Kevin Durant taunted by fan relentlessly chanting 'New York Knicks' during Warriors-Rockets game,Yahoo Sports,0
General Electric snatch a late draw against Royal Media in Left Foot,Goal.com via Yahoo Sport,0
Warriors Odds to Win NBA Finals Drops After Kevin Durant Injury,Sports Illustrated via Yahoo Sports,0
Edited Transcript of MRE.TO earnings conference call or presentation 3-May-19 12:00pm GMT,Thomson Reuters StreetEvents via Yahoo Finance,0
Makino to race Honda in Suzuka 10 Hours,Motorsport via Yahoo Sports,0
"New NASCAR aero package ""sucked"" at Dover, says Kyle Busch",Autosport via Yahoo Sport,0
"Battered and bruised, Warriors return home seeking championship heart",NBC Sports BayArea via Yahoo Sports,0
"Results, standings after the Digital Ally 400 at Kansas",NBC Sports via Yahoo Sports,0
Rockets' Twitter account has no sympathy for Draymond Green on injury,NBC Sports BayArea via Yahoo Sports,0
Warriors minority owner trolls Rockets fans with NBA championship rings,NBC Sports BayArea via Yahoo Sports,0
What Drivers Said after Gander RV 400 at Dover,NBC Sports via Yahoo Sports,0
World championship leader Neuville out of Chile race after crash,AFP via Yahoo Sports,0
Wrap-up: Dover Int'l Speedway,Rotoworld via Yahoo Sports,0
Rallying: World championship leader Neuville crashes out in Chile,Reuters via Yahoo Canada Sports,0
Alonso: No regrets over lack of competition in LMP1 stint,Motorsport via Yahoo Sports,0
Overwatch League trading cards? Blizzard enters multi-year deal with Upper Deck,NBC Sports Philadelphia via Yahoo Sports,0
Vandoorne's car finished Spa race with four gears,Motorsport via Yahoo Sports,0
Inclement weather delays start of Gander RV 400 at Dover,NASCAR.com via Yahoo Sports,0
Four cars fail pre-race inspection multiple times at Dover,NASCAR.com via Yahoo Sports,0
"How Much Is an Idea Worth? In Uber’s Case, $3.7 Billion",Bloomberg via Yahoo Finance,0
Can the Warriors Hang on to Beat the Rockets Without Kevin Durant?,Sports Illustrated via Yahoo Sports,0
Weekend preview: Harvick at right spot for first win?,Reuters via Yahoo News,0
Roundtable: Dover aero package and Kansas predictions,Motorsport via Yahoo Sports,0
"Keilch, 16, breaks course record to advance to U.S. Open sectionals",Golf Channel via Yahoo Sports,0
Late race contact prevents Kyle Busch from setting top-10 record,NBC Sports via Yahoo Sports,0
What Is It about Jeeps? Put One in Your Dating Profile and See a 243 Percent Better Response,Car and Driver via Yahoo News,0
Hamlin: Carbon monoxide poisoning led to care center visit,NASCAR.com via Yahoo Sports,0
Monster Energy Series qualifying order at Kansas,NASCAR.com via Yahoo Sports,0
Eyes on the prize for 'closer' Harden as Rockets down Warriors,Omnisport via Yahoo Sport,0
It wasn't my night - Curry reflects on Game 3 woes as Rockets stay in touch,Omnisport via Yahoo Sport,0
Edited Transcript of 7203.T earnings conference call or presentation 8-May-19 4:15am GMT,Thomson Reuters StreetEvents via Yahoo Finance,0
Warriors takeaways: What we learned in 126-121 Game 3 OT loss to Rockets,NBC Sports BayArea via Yahoo Sports,0
"Poole on spinning Busch for win: 'I tried, I'm not gonna lie'",NASCAR.com via Yahoo Sports,0
Tyler Reddick happy to be in top echelon of Xfinity Series,NASCAR.com via Yahoo Sports,0
Kobayashi and Conway score Spa WEC pole for Toyota,Autosport via Yahoo Sport,0
Spa WEC: #7 Toyota beats sister car to pole,Motorsport via Yahoo Sports,0
What Kind of Fuel Economy Does the 2019 Ford Ranger Get in the Real World?,Car and Driver via Yahoo News,0
"Toyota: Delay over 2020/21 WEC rules is now ""ridiculous""",Autosport via Yahoo Sport,0
Erik Jones hopes to 'relearn' Dover success with new rules package,NASCAR.com via Yahoo Sports,0
Rockets' James Harden Says He Can See a 'Bit Better' After Suffering Lacerated Eyelid in Game 2,Sports Illustrated via Yahoo Sports,0
Edited Transcript of GPI earnings conference call or presentation 25-Apr-19 2:00pm GMT,Thomson Reuters StreetEvents via Yahoo Finance,0
Kyle Busch unveils special Coca-Cola 600 paint scheme,NASCAR.com via Yahoo Sports,0
Why Is The 2JZ Engine So Strong? This Breakdown Shows Why,motorious via Yahoo News,0
"After 15 years, Green Grand Prix still thriving at The Glen",NBC Sports via Yahoo Sports,0
Spa WEC: SMP driver Sirotkin leads newcomer Vandoorne in FP1,Autosport via Yahoo Sport,0
M-Sport Ford aims to poach Tanak from Toyota for 2020 WRC season,Autosport via Yahoo Sport,0
"Warriors' bench players show needed heart, play major role in Game 6 win",NBC Sports BayArea via Yahoo Sports,0
Chile WRC: Tanak in command after Neuville rolls out,Motorsport via Yahoo Sports,0
"Warriors vs. Rockets watch guide: Game 3 lineups, injuries, player usage",NBC Sports BayArea via Yahoo Sports,0
Spa WEC: Alonso/Buemi/Nakajima near title after winning amid snow,Autosport via Yahoo Sport,0
"Spa WEC: Alonso, Buemi, Nakajima win snow-hit race",Motorsport via Yahoo Sports,0
11-time Dover winner Jimmie Johnson fastest in final practice,Motorsport via Yahoo Sports,0
Chase Elliott powers to Busch Pole Award in Dover qualifying,NASCAR.com via Yahoo Sports,0
Chris Paul and the Rockets' physical play are starting to get to the Warriors,Yahoo Sports,0
Bowyer blows by competitors to earn All-Star Race pole,NASCAR.com via Yahoo Sports,0
Monster Energy Series qualifying order for Dover,NASCAR.com via Yahoo Sports,0
Fuji Super GT: Nissan breaks lap record in qualifying,Motorsport via Yahoo Sports,0
"Racing Point bringing ""almost a new car"" to German GP",Motorsport via Yahoo Sports,0
Would you use a red key to boost your Dodge Challenger or Charger to over 700 horsepower?,USA TODAY via Yahoo News,0
M-Sport wants Tanak back from Toyota,Motorsport via Yahoo Sports,0
Martin Truex Jr. rebounds from pre-race penalty to dominate at Dover,NASCAR.com via Yahoo Sports,0
Toyota (TM) to Team Up With Subaru to Develop Electric SUV,Zacks via Yahoo Finance,1
Toyota speeds up electric vehicle schedule as demand heats up,Reuters via Yahoo India Finance,1
Toyota and Subaru Will Build Two Electric SUVs on a Jointly Developed EV Platform,Car and Driver via Yahoo News,1
"Toyota, Subaru team up to develop electric SUV in battle against costs",Reuters via Yahoo Finance Canada,1
Toyota to set up Myanmar plant to assemble Hilux trucks,Reuters via Yahoo Finance,1
"Toyota, Subaru to develop battery electric vehicle platform",Reuters via Yahoo Finance,1
"UPDATE 1-Toyota, Subaru team up to develop electric SUV in battle against costs",Reuters via Yahoo Finance,1
Toyota U.S. sales rise 3.2% in May,Reuters via Yahoo Finance,1
France ready to cut Renault stake to shore up Nissan partnership: finance minister,AFP via Yahoo News,1
Shipping from Mexico rushed before tariff threat lifted,Associated Press via Yahoo Finance,1
Panicked Carmakers Plead With Trump Not To Dismantle Auto Pollution Standards,HuffPost via Yahoo News,1
No-say Nissan had tech that drove Fiat Chrysler-Renault idea,Associated Press via Yahoo News,1
Fiat Chrysler-Renault deal collapsed over Nissan role,Associated Press via Yahoo Finance,1
Renault's FCA merger move leaves partner Nissan in the cold,Associated Press via Yahoo Finance,1
Trump's threatened Mexico tariffs could cost automakers billions,Reuters via Yahoo Finance,1
Nissan’s Infiniti brand to move back to Japan from Hong Kong: document,Reuters via Yahoo Finance,1
France wants FCA-Renault job guarantees and Nissan on board,Reuters via Yahoo Finance,1
UPDATE 3-France wants FCA-Renault job guarantees and Nissan on board,Reuters via Yahoo News,1
Old partner Nissan left sidelined by Renault-Fiat merger,AFP via Yahoo News,1
UPDATE 4-France wants FCA-Renault job guarantees and Nissan on board,Reuters via Yahoo News,1
Nissan Pushes Back on Renault's Renewed Efforts to Merge,Bloomberg via Yahoo Finance,1
The World's Largest Automakers Asked Trump Not to Loosen a Climate Change Standard. Here's Why,Time via Yahoo News,0
Oil Bulls See Glimmer Of Hope,Oilprice.com via Yahoo Finance,0
14 Common Car Seat Mistakes (And How to Avoid Them),Fatherly via Yahoo News,0
White House Nixes Carmaker Plea for California Pact on Emissions,Bloomberg via Yahoo Finance,1
"Electric Cars: Rivals Are Teaming Up, It’s All About the ‘Jesus Battery’",InvestorPlace via Yahoo Finance,0
"The Renault Deal Is Dead, But Fiat Chrysler Still Desperately Needs a Partner",Fortune via Yahoo Finance,0
Rihanna and Her Billionaire Bae Are Vacationing in Italy Together,Harper's Bazaar via Yahoo News,0
Car-sharing companies use these tactics and more to rent your Corolla,Mashable via Yahoo Finance,0
Not Even Automakers Can Support Trump’s Love Affair With Pollution,Rolling Stone via Yahoo News,0
Join the eSports Craze With These Stocks,Zacks via Yahoo Finance,0
Car firms call on Trump to keep emission limits,AFP via Yahoo News,1
"Ford, General Motors warn President Trump on pollution standards",Yahoo View,1
Azim Premji: India’s second-richest man owns a second-hand car and a generous heart,Quartz via Yahoo Finance,0
CEOs Are Being Forced to Hedge Against the Chaos of a Full-On Trade War,Bloomberg via Yahoo Finance,0
Fiat Chrysler slams brakes on Renault merger,AFP via Yahoo News,1
Everything You Need to Know about the 24 Hours of Le Mans Race,Car and Driver via Yahoo News,0
"BMW sells cars globally despite tariffs, no reason to change Mexico plans - board member",Reuters via Yahoo Finance,1
Fiat Chrysler blames ‘political conditions in France’ for shock Renault decision,The Independent via Yahoo News UK,0
Stone Temple Pilots Announce ‘Purple’ Super Deluxe Edition,Rolling Stone via Yahoo News,0
Ford Fusion sedan to be discontinued in North America next year,AFP Relax News via Yahoo News,1
"Auto Stock Roundup: FCAU, TM, NSANY Record Sales Growth in May, GM Upgrades Plant",Zacks via Yahoo Finance,0
Fiat Chrysler says French politics ended Renault merger,Associated Press via Yahoo News,1
The Latest: FCA says French politics caused merger pullout,Associated Press via Yahoo Finance,1
FCA Withdraws Proposed Offer for a Merger with Renault,Car and Driver via Yahoo News,1
BMW Rekindles Love with Land Rover (and Jaguar) to Make Electric Powertrains,Car and Driver via Yahoo News,1
General Motors Announces $24M Investment for Hub Development,Zacks via Yahoo Finance,1
70-year-old woman dies after being hit by driver at Geary &amp; Laguna,Hoodline via Yahoo News,0
3 Companies With Historically Low Valuations,GuruFocus.com via Yahoo Finance,0
Renault delays decision on Fiat Chrysler marriage proposal,Associated Press via Yahoo News,1
5 Stocks With Low Price-Earnings Ratios,GuruFocus.com via Yahoo Finance,0
Every New Car That May Jump in Price from U.S. Tariffs on Mexican Imports,Car and Driver via Yahoo News,0
Renault interested in Fiat Chrysler merger but to hold new meeting,AFP via Yahoo News,1
The Latest: Renault delays decision on Fiat Chrysler merger,Associated Press via Yahoo Finance,1
Wilco Announce Fall North American Tour,Rolling Stone via Yahoo News,0
Wilco Announce Fall Tour,Pitchfork via Yahoo News,0
